CIK,accession number,URL,company,ticker,description,form type,type,filed at
1378872,0001752724-23-242143,https://www.sec.gov/Archives/edgar/data/1378872/000175272423242143/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2023-10-30
1378872,0001752724-24-016888,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016888/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2024-01-29
1378872,0001752724-24-093466,https://www.sec.gov/Archives/edgar/data/1378872/000175272424093466/primary_doc.xml,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-P,2024-04-29
1378872,0001752724-23-017845,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017845/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017329,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017329/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017857,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017857/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017326,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017326/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017279,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017279/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017346,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017346/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017265,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017265/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017284,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017284/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017340,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017340/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017325,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017325/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017336,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017336/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-017277,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017277/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-01-30
1378872,0001752724-23-168104,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168104/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168097,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168097/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168106,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168106/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168110,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168110/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-166932,https://www.sec.gov/Archives/edgar/data/1378872/000175272423166932/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-166933,https://www.sec.gov/Archives/edgar/data/1378872/000175272423166933/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168105,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168105/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168092,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168092/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168109,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168109/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168093,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168093/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168111,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168111/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-23-168094,https://www.sec.gov/Archives/edgar/data/1378872/000175272423168094/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2023-07-28
1378872,0001752724-24-016999,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016999/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016900,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016900/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016992,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016992/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016966,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016966/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016925,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016925/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016915,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016915/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016942,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016942/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016893,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016893/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016964,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016964/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016899,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016899/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016906,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016906/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001752724-24-016888,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016888/edgar.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,,NPORT-P,NPORT-EX,2024-01-29
1378872,0001193125-23-133588,https://www.sec.gov/Archives/edgar/data/1378872/000119312523133588/d370569dncsrs.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,N-CSRS,N-CSRS,N-CSRS,2023-05-03
1378872,0001193125-24-112964,https://www.sec.gov/Archives/edgar/data/1378872/000119312524112964/d803176dncsrs.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,N-CSRS,N-CSRS,N-CSRS,2024-04-25
1378872,0001193125-23-270159,https://www.sec.gov/Archives/edgar/data/1378872/000119312523270159/d499776dncsr.htm,Invesco Exchange-Traded Fund Trust II (CIK 0001378872),,N-CSR,N-CSR,N-CSR,2023-11-03
1398805,0001683168-23-008723,https://www.sec.gov/Archives/edgar/data/1398805/000168316823008723/beam_8k.htm,"Beam Global (BEEM, BEEMW) (CIK 0001398805)",BEEM,CURRENT REPORT,8-K,8-K,2023-12-08
1398805,0001683168-23-008723,https://www.sec.gov/Archives/edgar/data/1398805/000168316823008723/beam_ex9901.htm,"Beam Global (BEEM, BEEMW) (CIK 0001398805)",BEEM,PRESS RELEASE,8-K,EX-99.1,2023-12-08
1398805,0001683168-23-008723,https://www.sec.gov/Archives/edgar/data/1398805/000168316823008723/beam_8k.htm,"Beam Global (BEEM, BEEMW) (CIK 0001398805)",BEEM,CURRENT REPORT,8-K,8-K,2023-12-08
1398805,0001683168-23-008723,https://www.sec.gov/Archives/edgar/data/1398805/000168316823008723/beam_ex9901.htm,"Beam Global (BEEM, BEEMW) (CIK 0001398805)",BEEM,PRESS RELEASE,8-K,EX-99.1,2023-12-08
1474365,0001145549-24-018742,https://www.sec.gov/Archives/edgar/data/1474365/000114554924018742/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2024-03-28
1474365,0001145549-24-018741,https://www.sec.gov/Archives/edgar/data/1474365/000114554924018741/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2024-03-28
1474365,0001145549-23-019473,https://www.sec.gov/Archives/edgar/data/1474365/000114554923019473/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-03-29
1474365,0001145549-23-059334,https://www.sec.gov/Archives/edgar/data/1474365/000114554923059334/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-09-28
1474365,0001145549-23-059335,https://www.sec.gov/Archives/edgar/data/1474365/000114554923059335/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-09-28
1474365,0001145549-23-019474,https://www.sec.gov/Archives/edgar/data/1474365/000114554923019474/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-03-29
1474365,0000051931-23-000544,https://www.sec.gov/Archives/edgar/data/1474365/000005193123000544/cgpcs_ncsrs.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,N-CSRS,N-CSRS,N-CSRS,2023-06-30
1474365,0000051931-23-001411,https://www.sec.gov/Archives/edgar/data/1474365/000005193123001411/cgpcs_ncsr.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,N-CSR,N-CSR,N-CSR,2023-12-29
1474365,0001145549-24-018742,https://www.sec.gov/Archives/edgar/data/1474365/000114554924018742/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2024-03-28
1474365,0001145549-24-018741,https://www.sec.gov/Archives/edgar/data/1474365/000114554924018741/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2024-03-28
1474365,0001145549-23-019473,https://www.sec.gov/Archives/edgar/data/1474365/000114554923019473/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-03-29
1474365,0001145549-23-059334,https://www.sec.gov/Archives/edgar/data/1474365/000114554923059334/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-09-28
1474365,0001145549-23-059335,https://www.sec.gov/Archives/edgar/data/1474365/000114554923059335/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-09-28
1474365,0001145549-23-019474,https://www.sec.gov/Archives/edgar/data/1474365/000114554923019474/edgar.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,NPORT-P,NPORT-EX,2023-03-29
1474365,0000051931-23-000544,https://www.sec.gov/Archives/edgar/data/1474365/000005193123000544/cgpcs_ncsrs.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,N-CSRS,N-CSRS,N-CSRS,2023-06-30
1474365,0000051931-23-001411,https://www.sec.gov/Archives/edgar/data/1474365/000005193123001411/cgpcs_ncsr.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,N-CSR,N-CSR,N-CSR,2023-12-29
1474365,0000051931-23-001399,https://www.sec.gov/Archives/edgar/data/1474365/000005193123001399/ck0001785360-20231219.htm,CAPITAL GROUP PRIVATE CLIENT SERVICES FUNDS (CIK 0001474365),,,485BPOS,485BPOS,2023-12-29
1274737,0001274737-24-000030,https://www.sec.gov/Archives/edgar/data/1274737/000127473724000030/pressrelease-20240422board.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,EX-99.1,8-K,EX-99.1,2024-04-26
1274737,0001274737-23-000004,https://www.sec.gov/Archives/edgar/data/1274737/000127473723000004/xgnchairtransitionpressrel.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,EX-99.1,8-K,EX-99.1,2023-01-23
1274737,0001274737-24-000030,https://www.sec.gov/Archives/edgar/data/1274737/000127473724000030/exdx-20240422.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,8-K,8-K,8-K,2024-04-26
1274737,0001274737-24-000030,https://www.sec.gov/Archives/edgar/data/1274737/000127473724000030/pressrelease-20240422board.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,EX-99.1,8-K,EX-99.1,2024-04-26
1274737,0001274737-23-000004,https://www.sec.gov/Archives/edgar/data/1274737/000127473723000004/xgnchairtransitionpressrel.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,EX-99.1,8-K,EX-99.1,2023-01-23
1274737,0001274737-24-000030,https://www.sec.gov/Archives/edgar/data/1274737/000127473724000030/exdx-20240422.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,8-K,8-K,8-K,2024-04-26
1274737,0001274737-24-000028,https://www.sec.gov/Archives/edgar/data/1274737/000127473724000028/a2024def14aproxystatement.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,DEF 14A,DEF 14A,DEF 14A,2024-04-26
1274737,0001274737-23-000034,https://www.sec.gov/Archives/edgar/data/1274737/000127473723000034/a2023def14aproxystatement.htm,EXAGEN INC. (XGN) (CIK 0001274737),XGN,DEF 14A,DEF 14A,DEF 14A,2023-04-28
1832466,0000950170-23-042834,https://www.sec.gov/Archives/edgar/data/1832466/000095017023042834/alhc-20230809.htm,"Alignment Healthcare, Inc. (ALHC) (CIK 0001832466)",ALHC,8-K,8-K,8-K,2023-08-15
1832466,0000950170-23-042834,https://www.sec.gov/Archives/edgar/data/1832466/000095017023042834/alhc-20230809.htm,"Alignment Healthcare, Inc. (ALHC) (CIK 0001832466)",ALHC,8-K,8-K,8-K,2023-08-15
1721484,0001213900-23-058324,https://www.sec.gov/Archives/edgar/data/1721484/000121390023058324/ea182024ex99-1_longeveron.htm,Longeveron Inc. (LGVN) (CIK 0001721484),LGVN,"PRESS RELEASE DATED JULY 20, 2023",8-K,EX-99.1,2023-07-20
1721484,0001213900-23-058324,https://www.sec.gov/Archives/edgar/data/1721484/000121390023058324/ea182024ex99-1_longeveron.htm,Longeveron Inc. (LGVN) (CIK 0001721484),LGVN,"PRESS RELEASE DATED JULY 20, 2023",8-K,EX-99.1,2023-07-20
1721484,0001213900-24-017521,https://www.sec.gov/Archives/edgar/data/1721484/000121390024017521/ea0200564-10k_longeveron.htm,Longeveron Inc. (LGVN) (CIK 0001721484),LGVN,ANNUAL REPORT,10-K,10-K,2024-02-27
